iter	RMSE
0	2625.737305
1	2222.621376
2	1990.437788
3	1864.893962
4	1768.633793
5	1727.317295
6	1697.105023
7	1679.407825
8	1667.25741
9	1657.275032
10	1643.532273
11	1631.652684
12	1619.821339
13	1604.114127
14	1592.837292
15	1585.609064
16	1577.314744
17	1573.553912
18	1568.601771
19	1561.440657
20	1556.146368
21	1550.948944
22	1546.55952
23	1542.764453
24	1537.590874
25	1533.536139
26	1529.72462
27	1524.178462
28	1522.382451
29	1518.526535
30	1515.385705
31	1512.755887
32	1507.133472
33	1503.008154
34	1499.620239
35	1497.447734
36	1495.32668
37	1493.490764
38	1491.185145
39	1489.133725
40	1486.689074
41	1485.11753
42	1483.406744
43	1482.256197
44	1480.182574
45	1477.898473
46	1475.777222
47	1473.587346
48	1472.037967
49	1468.410326
50	1467.154756
51	1465.595058
52	1464.227286
53	1463.185543
54	1461.819029
55	1460.198224
56	1459.469483
57	1457.726959
58	1456.688465
59	1455.881866
60	1454.495866
61	1453.0285
62	1452.021129
63	1450.125779
64	1448.191756
65	1446.59223
66	1445.352921
67	1444.290493
68	1443.316627
69	1441.395881
70	1440.891173
71	1440.37872
72	1439.791557
73	1437.754595
74	1437.143176
75	1435.906025
76	1434.137973
77	1432.999021
78	1432.035424
79	1431.365781
80	1430.422841
81	1429.233975
82	1428.356312
83	1426.707639
84	1425.941421
85	1424.741179
86	1423.775925
87	1423.010079
88	1420.850479
89	1420.436844
90	1419.958705
91	1419.411042
92	1418.544723
93	1417.998182
94	1417.431576
95	1415.990295
96	1415.491992
97	1414.888895
98	1413.559527
99	1412.833583
100	1411.958243
101	1411.435637
102	1411.12819
103	1410.415735
104	1409.623526
105	1409.379046
106	1408.691757
107	1407.863543
108	1406.68915
109	1406.380272
110	1405.909032
111	1404.93769
112	1404.255849
113	1403.733599
114	1403.111949
115	1402.282874
116	1401.75442
117	1401.498318
118	1400.666857
119	1400.060733
120	1399.913605
121	1399.598673
122	1399.326325
123	1398.67825
124	1397.816916
125	1397.10253
126	1396.380822
127	1395.899966
128	1395.47511
129	1395.310937
130	1394.970143
131	1394.093859
132	1393.033401
133	1392.725488
134	1391.798762
135	1391.5157
136	1390.882839
137	1390.448482
138	1389.991376
139	1389.464464
140	1389.01026
141	1388.756323
142	1388.032337
143	1387.652487
144	1387.396672
145	1386.965901
146	1386.78351
147	1386.291911
148	1385.822017
149	1385.573285
150	1385.299044
151	1384.53367
152	1384.501841
153	1383.954162
154	1383.222674
155	1382.625861
156	1382.368001
157	1382.099622
158	1381.828565
159	1381.335752
160	1380.910403
161	1380.65058
162	1380.186082
163	1379.660665
164	1379.298344
165	1378.967473
166	1378.838254
