iter	Passed	Remaining
0	60	24293
1	121	24215
2	181	24077
3	239	23753
4	299	23621
5	350	22988
6	423	23750
7	489	23996
8	546	23735
9	619	24144
10	681	24108
11	734	23750
12	809	24089
13	869	23977
14	930	23875
15	994	23858
16	1055	23777
17	1123	23851
18	1188	23838
19	1239	23551
20	1301	23488
21	1356	23315
22	1422	23320
23	1496	23437
24	1563	23452
25	1633	23498
26	1693	23389
27	1758	23362
28	1817	23250
29	1881	23204
30	1940	23098
31	2004	23050
32	2053	22842
33	2127	22904
34	2193	22872
35	2271	22967
36	2312	22684
37	2367	22551
38	2436	22555
39	2508	22575
40	2569	22502
41	2626	22385
42	2696	22387
43	2751	22263
44	2812	22191
45	2865	22055
46	2927	21987
47	2987	21906
48	3041	21788
49	3101	21708
50	3145	21522
51	3213	21507
52	3271	21418
53	3336	21378
54	3399	21325
55	3461	21264
56	3527	21226
57	3583	21128
58	3647	21080
59	3711	21032
60	3784	21030
61	3859	21038
62	3926	21004
63	3995	20977
64	4051	20879
65	4110	20800
66	4176	20755
67	4241	20706
68	4310	20676
69	4358	20549
70	4416	20466
71	4476	20392
72	4532	20303
73	4589	20220
74	4666	20222
75	4723	20135
76	4776	20038
77	4850	20022
78	4916	19975
79	4977	19911
80	5033	19823
81	5093	19753
82	5176	19769
83	5224	19654
84	5282	19574
85	5341	19501
86	5401	19434
87	5459	19357
88	5533	19335
89	5594	19269
90	5659	19215
91	5723	19160
92	5780	19083
93	5837	19002
94	5893	18921
95	5963	18883
96	6009	18770
97	6068	18701
98	6138	18664
99	6199	18598
100	6262	18539
101	6322	18470
102	6395	18441
103	6449	18355
104	6519	18316
105	6580	18252
106	6636	18172
107	6709	18140
108	6768	18070
109	6840	18034
110	6899	17962
111	6960	17897
112	7015	17817
113	7083	17769
114	7150	17720
115	7192	17609
116	7262	17566
117	7357	17583
118	7419	17519
119	7482	17458
120	7553	17415
121	7607	17336
122	7671	17276
123	7734	17215
124	7793	17146
125	7849	17068
126	7908	17000
127	7964	16924
128	8022	16852
129	8093	16808
130	8154	16744
131	8213	16675
132	8269	16601
133	8322	16520
134	8391	16472
135	8458	16420
136	8503	16324
137	8573	16276
138	8645	16233
139	8708	16172
140	8774	16116
141	8843	16067
142	8899	15994
143	8962	15932
144	9034	15888
145	9108	15845
146	9160	15766
147	9234	15722
148	9294	15656
149	9356	15594
150	9418	15531
151	9476	15460
152	9530	15385
153	9601	15337
154	9661	15270
155	9724	15210
156	9776	15131
157	9839	15069
158	9898	15004
159	9940	14910
160	9991	14831
161	10060	14779
162	10125	14722
163	10180	14650
164	10238	14582
165	10304	14525
166	10368	14465
167	10431	14405
168	10490	14338
169	10545	14267
170	10603	14200
171	10657	14127
172	10713	14056
173	10771	13990
174	10829	13923
175	10888	13858
176	10948	13793
177	11017	13741
178	11071	13668
179	11111	13580
180	11181	13529
181	11220	13440
182	11285	13382
183	11335	13306
184	11403	13252
185	11462	13188
186	11528	13131
187	11578	13056
188	11642	12997
189	11700	12932
190	11764	12872
191	11834	12820
192	11896	12759
